City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Nemuro,JP,2020-08-20 01:06:16,43.32,145.57,75.2,88,75,6.93
98,Torres,BR,2020-08-20 01:01:54,-29.34,-49.73,55.72,74,100,18.54
99,Husavik,IS,2020-08-20 01:06:17,66.04,-17.34,46.4,75,0,5.82
100,Linhares,BR,2020-08-20 01:06:17,-19.39,-40.07,70.7,89,6,5.66
101,Namibe,AO,2020-08-20 01:06:17,-15.2,12.15,63.16,89,0,1.34
102,Iqaluit,CA,2020-08-20 01:06:17,63.75,-68.51,44.6,93,90,16.11
103,Panjab,AF,2020-08-20 01:06:17,34.39,67.02,46.08,57,0,4.29
104,Clyde River,CA,2020-08-20 01:06:18,70.47,-68.59,48.2,87,75,12.75
105,Biak,ID,2020-08-20 01:06:18,-0.91,122.88,80.22,67,12,5.1
106,Garden City,US,2020-08-20 01:06:18,42.33,-83.33,73.4,53,75,5.82
107,Mount Gambier,AU,2020-08-20 01:06:18,-37.83,140.77,50.0,87,75,13.87
108,Ponta Do Sol,PT,2020-08-20 01:06:16,32.67,-17.1,73.4,73,20,3.27
109,Saint-Philippe,RE,2020-08-20 01:06:17,-21.36,55.77,68.0,68,90,3.36
110,Kaeo,NZ,2020-08-20 01:06:19,-35.1,173.78,64.06,75,0,15.95
111,Torbay,CA,2020-08-20 01:05:15,47.67,-52.73,64.0,88,75,6.93
112,Salalah,OM,2020-08-20 01:03:37,17.02,54.09,77.0,100,90,6.93
113,Arica,CL,2020-08-20 01:05:09,-18.48,-70.3,60.8,77,90,10.29
114,Qaanaaq,GL,2020-08-20 01:02:56,77.48,-69.36,43.92,91,100,1.61
115,Mar Del Plata,AR,2020-08-20 01:03:55,-38.0,-57.56,42.01,72,89,5.01
116,Longyearbyen,SJ,2020-08-20 01:06:21,78.22,15.64,42.8,70,75,16.11
117,Tuatapere,NZ,2020-08-20 01:06:21,-46.13,167.68,55.99,77,100,1.99
118,Bekovo,RU,2020-08-20 01:06:22,52.47,43.71,50.0,80,71,5.84
119,Abu Samrah,SY,2020-08-20 01:06:22,35.3,37.18,67.32,79,0,8.08
120,Hokitika,NZ,2020-08-20 01:06:22,-42.72,170.97,56.82,80,100,7.0
121,Naliya,IN,2020-08-20 01:06:22,23.27,68.83,82.15,85,8,12.3
122,Hofn,IS,2020-08-20 01:03:04,64.25,-15.21,47.17,73,3,13.76
123,Bismarck,US,2020-08-20 01:05:23,46.81,-100.78,96.8,22,1,11.41
124,Saint George,US,2020-08-20 01:05:30,37.1,-113.58,109.4,10,1,10.29
125,Paamiut,GL,2020-08-20 01:06:22,61.99,-49.67,45.14,79,0,5.21
126,Lebu,CL,2020-08-20 01:06:23,-37.62,-73.65,45.14,74,0,19.64
127,Lavrentiya,RU,2020-08-20 01:06:24,65.58,-171.0,54.84,69,87,8.84
128,Beringovskiy,RU,2020-08-20 01:06:24,63.05,179.32,58.68,49,100,9.17
129,Smolenskoye,RU,2020-08-20 01:06:24,52.3,85.08,63.97,48,6,6.87
130,Casas Grandes,MX,2020-08-20 01:06:24,30.37,-107.95,87.01,27,0,3.0
131,Timbiqui,CO,2020-08-20 01:06:25,2.77,-77.67,75.31,93,100,5.44
132,Riyadh,SA,2020-08-20 01:06:25,24.69,46.72,80.6,22,100,2.24
133,Vyartsilya,RU,2020-08-20 01:06:25,62.18,30.69,50.81,82,0,4.65
134,Neringa,LT,2020-08-20 01:06:26,55.37,21.06,64.4,93,40,2.24
135,Pimenta Bueno,BR,2020-08-20 01:03:02,-11.67,-61.19,82.62,29,0,2.04
136,Shimoda,JP,2020-08-20 01:06:26,34.67,138.95,87.01,74,20,10.29
137,Naushahro Firoz,PK,2020-08-20 01:06:26,26.84,68.12,89.04,63,59,6.71
138,Atuona,PF,2020-08-20 01:02:43,-9.8,-139.03,78.49,77,7,16.55
139,Raudeberg,NO,2020-08-20 01:05:58,61.99,5.14,57.99,91,0,3.29
140,Olafsvik,IS,2020-08-20 01:06:27,64.89,-23.71,49.19,79,21,5.91
141,Puerto Ayora,EC,2020-08-20 01:03:36,-0.74,-90.35,66.99,93,89,8.01
142,Kaitangata,NZ,2020-08-20 01:06:27,-46.28,169.85,51.01,81,9,1.99
143,Georgetown,MY,2020-08-20 01:02:48,5.41,100.34,80.6,88,20,3.4
144,Vardo,NO,2020-08-20 01:06:29,70.37,31.11,53.67,82,100,8.37
145,Pisco,PE,2020-08-20 01:04:55,-13.7,-76.22,62.6,77,15,16.11
146,Aginskoye,RU,2020-08-20 01:06:29,51.1,114.53,60.31,61,0,10.45
147,Alpena,US,2020-08-20 01:06:29,45.06,-83.43,66.2,72,40,8.05
148,Rosarito,MX,2020-08-20 01:06:30,32.33,-117.03,82.4,61,20,11.41
149,Kahului,US,2020-08-20 01:06:14,20.89,-156.47,87.8,48,40,21.92
150,Westport,US,2020-08-20 01:05:14,41.14,-73.36,66.99,98,0,3.96
151,Jamestown,US,2020-08-20 01:04:47,42.1,-79.24,64.4,55,1,2.13
152,Lobva,RU,2020-08-20 01:06:30,59.19,60.52,52.79,98,100,6.04
153,Araouane,ML,2020-08-20 01:06:31,18.9,-3.53,95.97,31,22,6.89
154,Barranca,PE,2020-08-20 01:02:49,-10.75,-77.77,59.54,86,59,9.71
155,Dikson,RU,2020-08-20 01:06:31,73.51,80.55,48.63,71,0,16.42
156,Lompoc,US,2020-08-20 01:05:17,34.64,-120.46,71.6,60,90,11.41
157,Bambous Virieux,MU,2020-08-20 01:03:28,-20.34,57.76,68.0,82,75,11.41
158,Tuktoyaktuk,CA,2020-08-20 01:06:04,69.45,-133.04,53.6,81,75,10.29
159,Amapa,BR,2020-08-20 01:06:32,1.0,-52.0,74.89,85,66,4.25
160,Saint-Joseph,RE,2020-08-20 01:06:32,-21.37,55.62,68.0,68,90,3.36
161,Muros,ES,2020-08-20 01:06:32,42.78,-9.06,63.0,93,50,1.99
162,Marsa Matruh,EG,2020-08-20 01:04:19,31.35,27.25,73.4,78,20,2.24
163,Potiskum,NG,2020-08-20 01:01:48,11.71,11.07,78.24,75,100,9.6
164,Novobirilyussy,RU,2020-08-20 01:06:33,56.95,90.67,56.95,84,0,6.42
165,Atar,MR,2020-08-20 01:06:33,20.52,-13.05,94.03,32,0,11.05
166,Manokwari,ID,2020-08-20 01:06:33,-0.87,134.08,82.38,70,94,6.89
167,Gizo,SB,2020-08-20 01:06:33,-8.1,156.84,84.06,68,85,0.85
168,Jasper,US,2020-08-20 01:06:34,37.2,-94.35,82.4,45,1,9.17
169,Rundu,NA,2020-08-20 01:06:34,-17.93,19.77,43.95,43,0,6.87
170,Port Elizabeth,ZA,2020-08-20 01:05:05,-33.92,25.57,48.2,81,0,8.05
171,Chuy,UY,2020-08-20 01:05:49,-33.7,-53.46,41.97,79,7,9.84
172,Chimbote,PE,2020-08-20 01:06:35,-9.09,-78.58,60.89,84,70,8.95
173,Quatre Cocos,MU,2020-08-20 01:06:36,-20.21,57.76,68.0,82,75,11.41
174,Saskylakh,RU,2020-08-20 01:05:54,71.92,114.08,44.92,63,100,4.56
175,Kutum,SD,2020-08-20 01:06:36,14.2,24.67,71.62,78,100,0.63
176,Mehamn,NO,2020-08-20 01:05:09,71.04,27.85,50.25,89,81,15.23
177,San Patricio,MX,2020-08-20 01:06:14,19.22,-104.7,86.0,74,75,11.41
178,Gat,IL,2020-08-20 01:06:37,31.61,34.76,73.99,40,0,1.28
179,Cockburn Town,TC,2020-08-20 01:06:37,21.46,-71.14,83.64,82,0,19.39
180,Shache,CN,2020-08-20 01:06:38,38.42,77.24,74.23,33,100,4.21
181,Saint-Augustin,CA,2020-08-20 01:06:38,51.23,-58.65,56.32,95,50,6.11
182,Hamilton,US,2020-08-20 01:06:38,39.18,-84.53,73.0,56,1,4.7
183,Tiarei,PF,2020-08-20 01:06:38,-17.53,-149.33,82.4,65,75,5.82
184,The Valley,AI,2020-08-20 01:03:08,18.22,-63.06,84.2,70,20,10.29
185,Anzhero-Sudzhensk,RU,2020-08-20 01:06:39,56.08,86.03,55.4,93,20,8.95
186,Portland,US,2020-08-20 01:02:40,45.52,-122.68,86.0,35,75,3.36
187,Port Augusta,AU,2020-08-20 01:06:39,-32.5,137.77,55.4,76,9,14.99
188,Enid,US,2020-08-20 01:02:44,36.4,-97.88,84.2,42,75,6.93
189,San Policarpo,PH,2020-08-20 01:06:30,12.18,125.51,80.01,83,100,5.26
190,Miri,MY,2020-08-20 01:06:40,4.41,114.01,78.8,88,20,6.93
191,Santa Isabel Do Rio Negro,BR,2020-08-20 01:06:40,-0.41,-65.02,79.5,68,5,2.44
192,Bako,ET,2020-08-20 01:06:40,5.78,36.57,63.66,83,99,5.7
193,Paita,PE,2020-08-20 01:06:40,-5.09,-81.11,61.9,81,100,15.61
194,Bonthe,SL,2020-08-20 01:06:41,7.53,-12.51,76.44,88,100,13.58
195,Victor Harbor,AU,2020-08-20 01:06:41,-35.57,138.62,57.0,69,0,1.99
196,Narsaq,GL,2020-08-20 01:06:02,60.92,-46.05,51.8,62,43,4.7
197,Taganak,PH,2020-08-20 01:06:42,6.08,118.3,77.0,94,20,3.36
198,Dois Vizinhos,BR,2020-08-20 01:06:43,-25.73,-53.06,56.07,95,100,2.01
199,Fairhope,US,2020-08-20 01:02:16,30.52,-87.9,79.0,83,1,6.04
200,Gaffney,US,2020-08-20 01:06:43,35.07,-81.65,69.01,100,1,3.27
201,Juneau,US,2020-08-20 01:05:03,58.3,-134.42,62.6,67,75,13.87
202,Honningsvag,NO,2020-08-20 01:06:43,70.98,25.97,50.5,89,100,7.52
203,Spassk-Dalniy,RU,2020-08-20 01:06:44,44.6,132.82,63.7,66,95,9.44
204,Berlevag,NO,2020-08-20 01:03:04,70.86,29.09,51.6,85,100,10.6
205,Doka,SD,2020-08-20 01:06:44,13.52,35.77,70.66,93,79,10.98
206,Ina,JP,2020-08-20 01:06:44,35.83,137.95,84.99,65,40,3.36
